----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1          [-1, 128, 56, 56]           6,272
         LayerNorm-2          [-1, 56, 56, 128]             256
        PatchEmbed-3          [-1, 56, 56, 128]               0
          Identity-4          [-1, 56, 56, 128]               0
         LayerNorm-5          [-1, 56, 56, 128]             256
            Linear-6              [-1, 49, 384]          49,536
           Softmax-7            [-1, 4, 49, 49]               0
           Dropout-8            [-1, 4, 49, 49]               0
            Linear-9              [-1, 49, 128]          16,512
          Dropout-10              [-1, 49, 128]               0
  WindowAttention-11              [-1, 49, 128]               0
         Identity-12          [-1, 56, 56, 128]               0
        LayerNorm-13            [-1, 3136, 128]             256
           Linear-14            [-1, 3136, 512]          66,048
             GELU-15            [-1, 3136, 512]               0
          Dropout-16            [-1, 3136, 512]               0
           Linear-17            [-1, 3136, 128]          65,664
          Dropout-18            [-1, 3136, 128]               0
              Mlp-19            [-1, 3136, 128]               0
         Identity-20            [-1, 3136, 128]               0
SwinTransformerBlock-21          [-1, 56, 56, 128]               0
        LayerNorm-22          [-1, 56, 56, 128]             256
           Linear-23              [-1, 49, 384]          49,536
          Softmax-24            [-1, 4, 49, 49]               0
          Dropout-25            [-1, 4, 49, 49]               0
           Linear-26              [-1, 49, 128]          16,512
          Dropout-27              [-1, 49, 128]               0
  WindowAttention-28              [-1, 49, 128]               0
         DropPath-29          [-1, 56, 56, 128]               0
        LayerNorm-30            [-1, 3136, 128]             256
           Linear-31            [-1, 3136, 512]          66,048
             GELU-32            [-1, 3136, 512]               0
          Dropout-33            [-1, 3136, 512]               0
           Linear-34            [-1, 3136, 128]          65,664
          Dropout-35            [-1, 3136, 128]               0
              Mlp-36            [-1, 3136, 128]               0
         DropPath-37            [-1, 3136, 128]               0
SwinTransformerBlock-38          [-1, 56, 56, 128]               0
SwinTransformerStage-39          [-1, 56, 56, 128]               0
        LayerNorm-40          [-1, 28, 28, 512]           1,024
           Linear-41          [-1, 28, 28, 256]         131,072
     PatchMerging-42          [-1, 28, 28, 256]               0
        LayerNorm-43          [-1, 28, 28, 256]             512
           Linear-44              [-1, 49, 768]         197,376
          Softmax-45            [-1, 8, 49, 49]               0
          Dropout-46            [-1, 8, 49, 49]               0
           Linear-47              [-1, 49, 256]          65,792
          Dropout-48              [-1, 49, 256]               0
  WindowAttention-49              [-1, 49, 256]               0
         DropPath-50          [-1, 28, 28, 256]               0
        LayerNorm-51             [-1, 784, 256]             512
           Linear-52            [-1, 784, 1024]         263,168
             GELU-53            [-1, 784, 1024]               0
          Dropout-54            [-1, 784, 1024]               0
           Linear-55             [-1, 784, 256]         262,400
          Dropout-56             [-1, 784, 256]               0
              Mlp-57             [-1, 784, 256]               0
         DropPath-58             [-1, 784, 256]               0
SwinTransformerBlock-59          [-1, 28, 28, 256]               0
        LayerNorm-60          [-1, 28, 28, 256]             512
           Linear-61              [-1, 49, 768]         197,376
          Softmax-62            [-1, 8, 49, 49]               0
          Dropout-63            [-1, 8, 49, 49]               0
           Linear-64              [-1, 49, 256]          65,792
          Dropout-65              [-1, 49, 256]               0
  WindowAttention-66              [-1, 49, 256]               0
         DropPath-67          [-1, 28, 28, 256]               0
        LayerNorm-68             [-1, 784, 256]             512
           Linear-69            [-1, 784, 1024]         263,168
             GELU-70            [-1, 784, 1024]               0
          Dropout-71            [-1, 784, 1024]               0
